avgcpu,node_count,instance_type,job_input,engine_type,data_size,elapsed_time,name
63.8679423076923,10,r4.xlarge,pagerank,spark,huge,257.669,10_r4.xlarge_pagerank_spark_huge_1
86.548811506358,10,r4.xlarge,regression,spark1.5,bigdata,5194.137006564,10_r4.xlarge_regression_spark1.5_bigdata_1
71.87132142857142,10,r4.xlarge,regression,spark1.5,huge,282.53606942600004,10_r4.xlarge_regression_spark1.5_huge_1
51.61498363913812,10,r4.xlarge,terasort,hadoop,bigdata,881.950,10_r4.xlarge_terasort_hadoop_bigdata_1
52.878177638453494,10,r4.xlarge,terasort,hadoop,huge,433.134,10_r4.xlarge_terasort_hadoop_huge_1
63.00677288275083,10,r4.xlarge,wordcount,hadoop,bigdata,925.319,10_r4.xlarge_wordcount_hadoop_bigdata_1
60.2195243243003,10,r4.xlarge,wordcount,hadoop,huge,512.090,10_r4.xlarge_wordcount_hadoop_huge_1
40.45379625803489,12,c4.2xlarge,join,spark,bigdata,305.989,12_c4.2xlarge_join_spark_bigdata_1
29.528750000000002,12,c4.2xlarge,join,spark,huge,288.597,12_c4.2xlarge_join_spark_huge_1
86.74051652892562,12,c4.2xlarge,kmeans,spark1.5,bigdata,1213.3391104870007,12_c4.2xlarge_kmeans_spark1.5_bigdata_1
81.30132205513785,12,c4.2xlarge,kmeans,spark1.5,huge,666.2022039559997,12_c4.2xlarge_kmeans_spark1.5_huge_1
3.543408739365816,12,c4.2xlarge,lr,spark,bigdata,2631.642,12_c4.2xlarge_lr_spark_bigdata_1
3.0576721556886226,12,c4.2xlarge,lr,spark,huge,1665.137,12_c4.2xlarge_lr_spark_huge_1
87.99098557692308,12,c4.2xlarge,naive-bayes,spark1.5,bigdata,521.8876142879999,12_c4.2xlarge_naive-bayes_spark1.5_bigdata_1
86.69603773584906,12,c4.2xlarge,naive-bayes,spark1.5,huge,265.82184146300006,12_c4.2xlarge_naive-bayes_spark1.5_huge_1
60.94662213740458,12,c4.2xlarge,pagerank,hadoop,bigdata,734.918,12_c4.2xlarge_pagerank_hadoop_bigdata_1
58.26943215339233,12,c4.2xlarge,pagerank,hadoop,huge,563.754,12_c4.2xlarge_pagerank_hadoop_huge_1
61.56681681681682,12,c4.2xlarge,pagerank,spark,bigdata,351.277,12_c4.2xlarge_pagerank_spark_bigdata_1
49.25576923076923,12,c4.2xlarge,pagerank,spark,huge,190.266,12_c4.2xlarge_pagerank_spark_huge_1
89.59568627450982,12,c4.2xlarge,regression,spark1.5,bigdata,2210.9201274179995,12_c4.2xlarge_regression_spark1.5_bigdata_1
