avgcpu,job_input,engine_type,data_size,node_count,instance_type,elapsed_time,name
25.003750737463125,lr,spark,bigdata,10,r4.large,2222.539,10_r4.large_lr_spark_bigdata_1
22.97351082251082,lr,spark,huge,10,r4.large,1150.899,10_r4.large_lr_spark_huge_1
89.61550857142858,naive-bayes,spark1.5,bigdata,10,r4.large,2624.306614522,10_r4.large_naive-bayes_spark1.5_bigdata_1
87.88710661764705,naive-bayes,spark1.5,huge,10,r4.large,1362.8870491590005,10_r4.large_naive-bayes_spark1.5_huge_1
69.53743450881612,pagerank,hadoop,bigdata,10,r4.large,2537.644,10_r4.large_pagerank_hadoop_bigdata_1
69.89380985915493,pagerank,hadoop,huge,10,r4.large,1415.209,10_r4.large_pagerank_hadoop_huge_1
71.32278279349461,pagerank,spark,bigdata,10,r4.large,884.527,10_r4.large_pagerank_spark_bigdata_1
68.80041806020067,pagerank,spark,huge,10,r4.large,447.776,10_r4.large_pagerank_spark_huge_1
84.27842152777778,regression,spark1.5,bigdata,10,r4.large,7200.505635888001,10_r4.large_regression_spark1.5_bigdata_1
82.83025892857142,regression,spark1.5,huge,10,r4.large,2801.8974689610004,10_r4.large_regression_spark1.5_huge_1
48.285817204301075,terasort,hadoop,bigdata,10,r4.large,1873.476,10_r4.large_terasort_hadoop_bigdata_1
50.821287292817686,terasort,hadoop,huge,10,r4.large,899.261,10_r4.large_terasort_hadoop_huge_1
60.88376131769961,wordcount,hadoop,bigdata,10,r4.large,16.667375848999654,10_r4.large_wordcount_hadoop_bigdata_1
61.781973571347656,wordcount,hadoop,huge,10,r4.large,964.462,10_r4.large_wordcount_hadoop_huge_1
69.57932218772392,join,spark,bigdata,10,r4.xlarge,457.252,10_r4.xlarge_join_spark_bigdata_1
59.573454545454545,join,spark,huge,10,r4.xlarge,331.815,10_r4.xlarge_join_spark_huge_1
92.47424538258575,kmeans,spark1.5,bigdata,10,r4.xlarge,1895.294582202001,10_r4.xlarge_kmeans_spark1.5_bigdata_1
75.7147037037037,kmeans,spark1.5,huge,10,r4.xlarge,270.1121087729998,10_r4.xlarge_kmeans_spark1.5_huge_1
9.714268,lr,spark,bigdata,10,r4.xlarge,2281.488,10_r4.xlarge_lr_spark_bigdata_1
7.886948630136986,lr,spark,huge,10,r4.xlarge,1457.946,10_r4.xlarge_lr_spark_huge_1
90.25943018867925,naive-bayes,spark1.5,bigdata,10,r4.xlarge,1325.790013068001,10_r4.xlarge_naive-bayes_spark1.5_bigdata_1
90.68808208955224,naive-bayes,spark1.5,huge,10,r4.xlarge,672.08155739,10_r4.xlarge_naive-bayes_spark1.5_huge_1
69.5233544857768,pagerank,hadoop,bigdata,10,r4.xlarge,1403.846,10_r4.xlarge_pagerank_hadoop_bigdata_1
67.69677011494252,pagerank,hadoop,huge,10,r4.xlarge,866.099,10_r4.xlarge_pagerank_hadoop_huge_1
68.81642176870749,pagerank,spark,bigdata,10,r4.xlarge,465.759,10_r4.xlarge_pagerank_spark_bigdata_1
63.8679423076923,pagerank,spark,huge,10,r4.xlarge,257.669,10_r4.xlarge_pagerank_spark_huge_1
86.548811506358,regression,spark1.5,bigdata,10,r4.xlarge,5194.137006564,10_r4.xlarge_regression_spark1.5_bigdata_1
71.87132142857142,regression,spark1.5,huge,10,r4.xlarge,282.53606942600004,10_r4.xlarge_regression_spark1.5_huge_1
51.61498363913812,terasort,hadoop,bigdata,10,r4.xlarge,881.950,10_r4.xlarge_terasort_hadoop_bigdata_1
52.878177638453494,terasort,hadoop,huge,10,r4.xlarge,433.134,10_r4.xlarge_terasort_hadoop_huge_1
63.00677288275083,wordcount,hadoop,bigdata,10,r4.xlarge,925.319,10_r4.xlarge_wordcount_hadoop_bigdata_1
